"","category","main_category","currency","goal","pledged","state","backers","usd.pledged","usd_pledged_real","usd_goal_real","period"
"5","Tabletop Games","Games","GBP",5000,94175,"1",761,57763.78,121857.33,6469.73,28
"7","Art Books","Publishing","USD",3000,789,"0",20,789,789,3000,30
"12","Drinks","Food","NOK",500,48,"0",3,6.18,6.29,65.55,30
"18","Webseries","Film & Video","USD",10000,1373.37,"0",54,1373.37,1373.37,10000,30
"24","Restaurants","Food","USD",40000,63401,"1",855,63401,63401,40000,30
"31","Accessories","Fashion","EUR",12000,137,"0",2,0,150.73,13202.34,30
"35","Weaving","Crafts","GBP",5000,2,"0",1,2.98,3.09,7716.41,30
"37","Jazz","Music","USD",4000,4795,"1",95,4795,4795,4000,30
"39","Video Games","Games","USD",50000,1410,"0",38,1410,1410,50000,60
"49","Shorts","Film & Video","USD",3000,3755,"1",52,3755,3755,3000,40
"51","Webseries","Film & Video","USD",500,756,"1",8,756,756,500,31
"52","Radio & Podcasts","Publishing","USD",1000,1055,"1",19,0,1055,1000,30
"53","Product Design","Design","USD",500,156,"0",4,1,156,500,30
"58","Metal","Music","USD",1000,472,"0",13,0,472,1000,25
"64","Video Games","Games","USD",200,306.72,"1",36,306.72,306.72,200,30
"70","World Music","Music","USD",3000,260,"0",8,260,260,3000,45
"80","Art Books","Publishing","USD",1000,2883.5,"1",78,2883.5,2883.5,1000,20
"82","Music","Music","USD",1450,1647,"1",33,0,1647,1450,15
"85","Hardware","Technology","USD",50000,4237,"0",12,4384,4237,50000,33
"94","Tabletop Games","Games","USD",50000,1825,"0",32,1825,1825,50000,30
"102","Food","Food","CAD",50000,0,"0",0,0,0,38112.66,53
"104","Photobooks","Photography","USD",17500,656,"0",14,615,656,17500,30
"106","Comics","Comics","SEK",4450,8503,"1",47,409.54,986.03,516.03,30
"111","Ceramics","Art","USD",3000,4386,"1",94,4386,4386,3000,14
"112","Pop","Music","USD",2000,170,"0",7,170,170,2000,52
"118","Poetry","Publishing","GBP",4000,20,"0",1,30.66,30.3,6060.97,30
"120","Rock","Music","USD",5500,0,"0",0,0,0,5500,30
"126","Film & Video","Film & Video","USD",5500,6614,"1",88,6614,6614,5500,30
"144","Accessories","Fashion","USD",10000,3238,"0",36,3238,3238,10000,34
